Export Date,2025-09-08T09:12:07.331Z

Section,Processed Batch Data
WIP_BATCH_ID,PLAN_QTY,WIP_QTY,processing_days,SCRAP_FACTOR,is_delayed,line,formula
BATCH001,1000,950,3,0.025,false,1,F001
BATCH002,800,720,5,0.032,true,2,F002
BATCH003,1200,1080,2,0.018,false,3,F003

Section,"Processing Days Histogram (bin_index,count,bin_edge_start,bin_edge_end,threshold) "
0,3558,0,1.1333333333333333,2
1,746,1.1333333333333333,2.2666666666666666,2
2,465,2.2666666666666666,3.4,2
3,291,3.4,4.533333333333333,2
4,183,4.533333333333333,5.666666666666666,2
5,149,5.666666666666666,6.8,2
6,97,6.8,7.933333333333334,2
7,138,7.933333333333334,9.066666666666666,2
8,43,9.066666666666666,10.2,2
9,24,10.2,11.333333333333332,2
10,39,11.333333333333332,12.466666666666667,2
11,16,12.466666666666667,13.6,2
12,17,13.6,14.733333333333333,2
13,11,14.733333333333333,15.866666666666667,2
14,4,15.866666666666667,17,2
15,18,17,18.133333333333333,2
16,13,18.133333333333333,19.266666666666666,2
17,1,19.266666666666666,20.4,2
18,5,20.4,21.53333333333333,2
19,3,21.53333333333333,22.666666666666664,2
20,0,22.666666666666664,23.8,2
21,3,23.8,24.933333333333334,2
22,0,24.933333333333334,26.066666666666666,2
23,0,26.066666666666666,27.2,2
24,1,27.2,28.333333333333332,2
25,2,28.333333333333332,29.466666666666665,2
26,0,29.466666666666665,30.599999999999998,2
27,0,30.599999999999998,31.733333333333334,2
28,3,31.733333333333334,32.86666666666667,2
29,2,32.86666666666667,34,2

Section,"Delay Share (category,percentage,threshold_days)"
category,percentage,threshold_days
On Time,73.7997256515775,2
Delayed,26.200274348422496,2

Section,"Monthly Average Delay (month,avg_processing_days,threshold)"
month,avg_processing_days,threshold
2015-07,2.708955223880597,2
2015-08,3.1464646464646466,2
2015-09,3.449197860962567,2
2015-10,2.54014598540146,2
2015-11,3.4836601307189543,2
2015-12,1.824742268041237,2
2016-01,1.8469945355191257,2
2016-02,2.857142857142857,2
2016-03,3.506172839506173,2
2016-04,1.0789473684210527,2
2016-05,1.2596685082872927,2
2016-06,1.5082872928176796,2
2016-07,1.624113475177305,2
2016-08,2.2868852459016393,2
2016-09,1.934782608695652,2
2016-10,1.5778688524590163,2
2016-11,1.141304347826087,2
2016-12,0.5408163265306123,2
2017-01,0.4583333333333333,2
2017-02,0.4307692307692308,2
2017-03,0.4479166666666667,2
2017-04,0.09009009009009009,2
2017-05,0.1262135922330097,2
2017-06,0.5789473684210527,2
2017-07,0.3728813559322034,2
2017-08,1.9923664122137406,2
2017-09,2.1710526315789473,2
2017-10,0.691358024691358,2
2017-11,1.3333333333333333,2
2017-12,0.8181818181818182,2
2018-01,0.9473684210526315,2
2018-02,0.7241379310344828,2
2018-03,0.5,2
2018-04,0.43478260869565216,2
2018-05,1.15625,2
2018-06,1,2
2018-07,1.0869565217391304,2
2018-08,2.380952380952381,2
2018-09,1.6363636363636365,2
2018-10,1.04,2
2018-11,0.5384615384615384,2
2018-12,0.625,2
2019-01,2.3333333333333335,2
2019-02,1.9565217391304348,2
2019-03,1.1481481481481481,2
2019-04,1.2758620689655173,2
2019-05,1.0454545454545454,2
2019-06,0.7045454545454546,2
2019-07,0.9767441860465116,2
2019-08,0.6956521739130435,2
2019-09,1,2
2019-10,1.0416666666666667,2
2019-11,0.25,2
2019-12,1.0714285714285714,2
2020-01,0.9285714285714286,2
2020-02,1.4375,2
2020-03,7.875,2
2020-04,4,2
2020-05,2.8,2
2020-06,2.2,2
2020-07,0.7058823529411765,2
2020-08,1.8571428571428572,2
2020-09,1.9047619047619047,2
2020-10,1.8571428571428572,2
2020-11,1.3157894736842106,2
2020-12,2.4482758620689653,2
2021-01,1.9375,2
2021-02,2.130434782608696,2
2021-03,1.8888888888888888,2
2021-04,0.7083333333333334,2
2021-05,1,2
2021-06,0.5833333333333334,2
2021-07,0.5714285714285714,2
2021-08,2.4615384615384617,2
2021-09,2.6363636363636362,2
2021-10,1.7647058823529411,2
2021-11,3.2222222222222223,2
2021-12,2.2051282051282053,2
2022-01,5.25,2
2022-02,3.225806451612903,2
2022-03,4.8,2
2022-04,6.264705882352941,2
2022-05,7.419354838709677,2
2022-06,3.4615384615384617,2
2022-07,8.026315789473685,2
2022-08,4.342105263157895,2
2022-09,1.9473684210526316,2
2022-10,4.529411764705882,2
2022-11,3.4705882352941178,2
2022-12,1.673913043478261,2
2023-01,2.25,2
2023-02,3,2
2023-03,1.5526315789473684,2
2023-04,2.9545454545454546,2
2023-05,5,2
2023-06,2.0681818181818183,2
2023-07,3.1379310344827585,2
2023-08,7.72,2
2023-09,5.916666666666667,2
2023-10,7.142857142857143,2
2023-11,7,2
2023-12,6.625,2
2024-01,5.230769230769231,2
2024-02,7.75,2
2024-03,7,2
2024-04,11.666666666666666,2
2024-05,16.5,2
2024-06,4.4,2
2024-07,9,2
2024-08,6.571428571428571,2
2024-09,2.2222222222222223,2
2024-10,8.857142857142858,2
2024-11,7.25,2
2024-12,1.3076923076923077,2
2025-01,10.857142857142858,2
2025-02,7.625,2
2025-03,2.909090909090909,2
2025-04,15,2
2025-05,3.25,2
2025-06,1.6923076923076923,2

Section,"Line Average Delay (line,avg_processing_days,threshold)"
line,avg_processing_days,threshold
1,2.300891737494775,2
2,2.1328778821520067,2
3,2.1410472972972974,2
4,2.131128074639525,2
5,2.122809917355372,2
6,2.13215859030837,2
7,2.12264631043257,2
8,2.1550323329464436,2
9,2.175327829043225,2
10,2.131447587354409,2
11,2.2596633992972075,2
12,2.013270666298037,2
13,1.9136023916292975,2
14,1.9414941494149416,2
15,1.9119458128078817,2
16,1.9024691358024692,2
17,1.8838323353293414,2
18,1.98023598820059,2
19,1.8917654398003743,2
20,1.32010582010582,2
21,1.1883899233296824,2
22,1.0611581001951855,2
23,0.8127962085308057,2
24,4.416666666666667,2
25,5.5,2
26,1,2

Section,"Line Monthly Average Delay (month,<line...>,threshold)"
month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,threshold
2015-07,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2.708955223880597,2,2,0,0,0,0,0,2
2015-08,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.25,3.1370558375634516,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1464646464646466,3.1522842639593907,4.333333333333333,0,0,0,0,0,0,2
2015-09,3.449197860962567,3.454054054054054,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3.5,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3.4516129032258065,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3.449197860962567,3,0,0,0,0,0,0,2
2015-10,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.54014598540146,2.4473684210526314,0,0,0,0,0,0,0,2
2015-11,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.591549295774648,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4966442953020134,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.4836601307189543,3.185185185185185,2.3333333333333335,0,0,0,0,0,2
2015-12,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.7675675675675675,1.8082901554404145,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,1.824742268041237,2.7222222222222223,0,0,0,0,0,0,2
2016-01,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8516483516483517,1.7401129943502824,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,1.8469945355191257,3.0952380952380953,0,0,0,0,0,0,2
2016-02,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.807017543859649,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.9357798165137616,2.8596491228070176,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.8813559322033897,2.84375,2,0,0,0,0,0,2
2016-03,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.506172839506173,3.5093167701863353,7,0,0,0,0,0,0,2
2016-04,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0789473684210527,1.0480769230769231,1.0480769230769231,1.0480769230769231,0,0,0,0,2
2016-05,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,1.2596685082872927,2,0,0,0,2
2016-06,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,1.5082872928176796,5.7272727272727275,0,0,0,2
2016-07,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.6496350364963503,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.624113475177305,1.6376811594202898,1.624113475177305,1.967741935483871,0.75,0,0,2
2016-08,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.2868852459016393,2.5346534653465347,0,0,0,0,2
2016-09,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,1.934782608695652,2.090909090909091,4.333333333333333,4,0,0,2
2016-10,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,1.5778688524590163,2.5714285714285716,5.818181818181818,8.5,0,0,2
2016-11,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.141304347826087,1.1379310344827587,10,10,10,0,2
2016-12,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.5408163265306123,0.4835164835164835,0.25,0,1,0,2
2017-01,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0,0,0,0,2
2017-02,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.375,0.4307692307692308,0.4307692307692308,0.375,0.375,0.375,0.375,0.375,0.375,0.2222222222222222,1.5,2,0,0,2
2017-03,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.3974358974358974,1,1,1,2
2017-04,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09009009009009009,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0.09174311926605505,0,0,0,2
2017-05,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.1262135922330097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-06,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,2
2017-07,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.3728813559322034,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0,0,0,2
2017-08,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,1.9923664122137406,2.2,2.2,2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,2
2017-09,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,2.1710526315789473,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-10,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0.691358024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-11,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.8,3,4,3.5,6,0,0,0,0,0,0,0,0,0,0,0,2
2017-12,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-01,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-02,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-03,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-04,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-05,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,1.15625,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-06,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-07,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,1.0869565217391304,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-08,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-09,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,3.25,3.6666666666666665,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-10,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,2.3333333333333335,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-11,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-12,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2019-01,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2
2019-02,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,1.9565217391304348,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019-03,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019-04,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,1.2758620689655173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019-05,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.0454545454545454,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
